,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2014-10-31,The 2nd Album 'Pink Tape',f(x),미행 (그림자 : Shadow),0,114.995,0.768,0.846,2.01e-05,0.828,k-pop
1,2014-10-31,The 1st Mini Album 'ACE',TAEMIN,괴도 (Danger),0,114.051,0.732,0.743,0.0,0.838,k-pop
2,2014-11-19,The 2nd Mini Album '중독 Overdose',EXO-K,"Love, Love, Love",0,130.036,0.647,0.879,0.0,0.538,k-pop
3,2015-02-15,The 1st Mini Album 'BASE',JONGHYUN,NEON,0,94.087,0.544,0.898,0.0,0.704,k-pop
4,2015-06-02,The 2nd Album ‘EXODUS’,EXO,CALL ME BABY,2,100.03,0.692,0.886,0.0,0.879,k-pop
5,2015-06-02,The 2nd Album ‘EXODUS’,EXO,TRANSFORMER,0,87.944,0.727,0.946,0.0,0.865,k-pop
6,2015-06-02,The 2nd Album ‘EXODUS’,EXO,HURT,0,120.053,0.693,0.809,0.0,0.482,k-pop
7,2015-06-02,Odd - The 4th Album,SHINee,View,0,123.953,0.728,0.801,0.0,0.656,k-pop
8,2015-06-17,LOVE ME RIGHT - The 2nd Album Repackage,EXO,LOVE ME RIGHT,1,110.04,0.625,0.83,0.0,0.757,k-pop
9,2015-06-17,LOVE ME RIGHT - The 2nd Album Repackage,EXO,TENDER LOVE,0,117.987,0.744,0.856,0.0,0.868,k-pop
10,2015-08-03,Married To The Music - The 4th Album Repackage,SHINee,Married To The Music,0,114.995,0.729,0.869,0.0,0.889,k-pop
11,2015-08-29,Married To The Music - The 4th Album Repackage,SHINee,SAVIOR,0,128.03,0.719,0.795,0.0,0.653,k-pop
12,2015-08-29,LOVE ME RIGHT - The 2nd Album Repackage,EXO,EXODUS,0,99.994,0.695,0.82,0.0,0.824,k-pop
13,2015-09-03,The 1st Album 'XOXO' (Repackage),EXO,Heart Attack,0,80.979,0.668,0.643,0.0,0.536,k-pop
14,2015-09-03,The 1st Album 'XOXO' (Repackage),EXO,XOXO (Kisses & Hugs),0,93.94,0.708,0.689,0.0,0.563,k-pop
15,2015-09-03,The 2nd Album ‘EXODUS’,EXO,EL DORADO,0,154.97,0.592,0.88,0.0,0.579,k-pop
16,2015-09-03,The 2nd Album ‘EXODUS’,EXO,PLAYBOY,0,79.951,0.529,0.722,0.0,0.666,k-pop
17,2015-09-04,The 1st Mini Album 'ACE',TAEMIN,Pretty Boy,0,86.942,0.735,0.93,0.0,0.925,k-pop
18,2015-09-07,The 2nd Mini Album '중독 Overdose',EXO-K,월광 Moonlight,0,122.001,0.669,0.747,0.0,0.492,k-pop
19,2015-09-07,The 2nd Mini Album '중독 Overdose',EXO-K,Thunder,0,97.98,0.722,0.771,0.0,0.773,k-pop
20,2015-11-14,Chained Up,VIXX,Chained Up,54,92.073,0.728,0.941,0.0,0.923,k-pop
21,2015-11-28,LIGHTSABER,EXO,LIGHTSABER,0,139.986,0.649,0.832,0.0,0.58,k-pop
22,2015-12-24,"SING FOR YOU - Winter Special Album, 2015",EXO,불공평해 Unfair,1,97.984,0.668,0.877,0.0,0.781,k-pop
23,2015-12-24,4 Walls - The 4th Album,f(x),4 Walls,0,125.972,0.735,0.849,2.94e-05,0.223,k-pop
24,2015-12-24,The 2nd Mini Album '중독 Overdose',EXO-K,중독 Overdose,1,112.357,0.498,0.917,0.0,0.652,k-pop
25,2015-12-24,Mama (The 1st Mini Album),EXO-K,Machine,0,105.009,0.714,0.948,0.0,0.663,k-pop
26,2015-12-24,The 1st Album 'XOXO' (Repackage),EXO,Let Out the Beast,0,121.996,0.767,0.867,0.000399,0.885,k-pop
27,2015-12-24,The 1st Album 'XOXO' (Repackage),EXO,Black Pearl,0,137.046,0.556,0.829,2.97e-05,0.502,k-pop
28,2015-12-24,The 1st Album 'XOXO' (Repackage),EXO,으르렁 Growl,1,89.99,0.681,0.814,0.0,0.876,k-pop
29,2016-01-10,12월의 기적 Miracles in December,EXO,The Star,1,100.014,0.73,0.906,0.0,0.46,k-pop
30,2016-02-08,The 2nd Album 'Pink Tape',f(x),첫 사랑니 (Rum Pum Pum Pum),0,119.984,0.774,0.819,1.72e-05,0.543,k-pop
31,2016-02-09,"SING FOR YOU - Winter Special Album, 2015",EXO,발자국 On the snow,1,170.095,0.539,0.698,0.0,0.464,k-pop
32,2016-02-09,"SING FOR YOU - Winter Special Album, 2015",EXO,Girl x Friend,0,94.278,0.493,0.846,0.0,0.433,k-pop
33,2016-02-09,"SING FOR YOU - Winter Special Album, 2015",EXO,偏心 Unfair - Chinese Version,0,98.004,0.666,0.862,0.0,0.815,k-pop
34,2016-02-09,"SING FOR YOU - Winter Special Album, 2015",EXO,腳印 On the snow - Chinese Version,0,85.019,0.582,0.708,0.0,0.461,k-pop
35,2016-02-09,"SING FOR YOU - Winter Special Album, 2015",EXO,Girl x Friend 女 x 友 - Chinese Version,0,94.474,0.473,0.853,0.0,0.425,k-pop
36,2016-02-15,LOVE ME RIGHT - The 2nd Album Repackage,EXO,"시선 둘, 시선 하나 What If..",0,118.01,0.638,0.452,5.41e-06,0.492,k-pop
37,2016-02-15,LOVE ME RIGHT - The 2nd Album Repackage (Chinese Version),EXO,"两个视线, 一个视线 What If.. - Chinese Version",0,117.979,0.655,0.485,0.0,0.499,k-pop
38,2016-02-15,LOVE ME RIGHT - The 2nd Album Repackage (Chinese Version),EXO,CALL ME BABY 叫我 - Chinese Version,0,99.998,0.698,0.901,0.0,0.827,k-pop
39,2016-02-24,Press It - The 1st Album,TAEMIN,Drip Drop,0,111.972,0.716,0.869,0.0,0.512,k-pop
40,2016-02-29,Press It - The 1st Album,TAEMIN,Press Your Number,0,120.021,0.656,0.78,0.0,0.613,k-pop
