,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2018-10-27,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Knock On,48,66.536,0.411,0.466,1.51e-06,0.354,k-pop
1,2018-10-27,The 2nd Mini Album '중독 Overdose',EXO-K,월광 Moonlight,0,122.001,0.669,0.747,0.0,0.492,k-pop
2,2018-10-27,MOVE-ing - The 2nd Album Repackage,TAEMIN,낮과 밤 Day and Night,44,91.926,0.592,0.728,0.0,0.464,k-pop
3,2018-10-27,일곱 번째 감각 The 7th Sense,NCT U,"일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)",0,108.08,0.682,0.502,8.45e-06,0.218,k-pop
4,2018-10-27,1 of 1 - The 5th Album,SHINee,투명 우산 Don’t Let Me Go,0,92.016,0.605,0.919,0.0,0.789,k-pop
5,2018-10-27,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,Baby Don’t Like It 나쁜 짓,0,96.711,0.699,0.555,0.0,0.374,k-pop
6,2018-10-27,NCT #127 CHERRY BOMB– The 3rd Mini Album,NCT 127,Sun&Moon,54,98.464,0.507,0.605,2.54e-06,0.23,k-pop
7,2018-10-27,Imagination,Lu Han,時差 On call,0,131.066,0.601,0.529,0.0,0.281,chinese electropop
8,2018-10-27,NCT 2018 EMPATHY,NCT,몽중몽; Dream In A Dream,51,102.052,0.618,0.748,0.00225,0.367,k-pop
9,2018-10-27,Blooming Days - The 2nd Mini Album,EXO-CBX,Thursday,41,140.108,0.689,0.559,0.0,0.591,k-pop
10,2018-10-27,Blooming Days - The 2nd Mini Album,EXO-CBX,휴일 Lazy,44,100.026,0.717,0.748,0.0,0.848,k-pop
11,2018-10-27,The 2nd Mini Album 'Overdose',EXO-M,Moonlight,37,122.001,0.679,0.732,0.0,0.47,chinese idol pop
12,2018-10-27,Free Somebody - The 1st Mini Album,LUNA,예쁜 소녀 I Wish,32,163.895,0.54,0.674,0.0,0.202,
13,2018-10-27,Simultaneously,P.Keys,Simultaneously,29,131.971,0.645,0.505,0.0,0.397,
14,2018-10-27,Electric (feat. Khalid),Alina Baraz,Electric (feat. Khalid),71,111.072,0.599,0.396,2.19e-05,0.134,alternative r&b
15,2018-10-27,Take Care (Deluxe),Drake,Marvins Room,75,111.519,0.492,0.26,0.00178,0.312,canadian hip hop
16,2018-10-27,Trip,Jhené Aiko,Never Call Me,69,99.424,0.484,0.309,1.29e-06,0.13,alternative r&b
17,2018-10-27,Chilly,NIKI,Chilly,2,103.241,0.734,0.271,5.27e-06,0.237,indie r&b
18,2018-10-27,COUP D'ETAT,G-DRAGON,Black (feat. Sky Ferreira),0,84.705,0.49,0.573,0.0,0.462,k-hop
19,2018-10-27,LOVE ME RIGHT - The 2nd Album Repackage,EXO,"시선 둘, 시선 하나 What If..",0,118.01,0.638,0.452,5.41e-06,0.492,k-pop
20,2018-10-27,One of a Kind,G-DRAGON,That XX (그 XX),0,119.885,0.763,0.47,0.0,0.801,k-hop
21,2018-10-27,양화대교 (Yanghwa Brdg) - Single,Zion.T,양화대교 (Yanghwa Brdg),2,87.111,0.538,0.436,0.0,0.37,k-hop
22,2018-10-27,Erase,"Hyolyn, Jooyoung",Erase (feat.Iron),47,94.091,0.634,0.593,0.0,0.642,
23,2018-10-27,instagram,DEAN,instagram,71,93.921,0.463,0.566,0.0,0.219,k-pop
24,2018-12-18,LOVE SHOT– The 5th Album Repackage,EXO,Wait,57,74.207,0.477,0.237,0.0,0.362,k-pop
25,2018-12-18,Kratos,VIXX,Good Night & Good Morning,22,131.981,0.607,0.611,0.0,0.387,k-pop
