,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2015-04-11,Ixora,Copeland,Chiromancer (feat. Steff Koeppen),23,92.212,0.441,0.79,4.73e-06,0.293,chamber pop
1,2015-04-11,Ixora,Copeland,In Her Arms You Will Never Starve,31,127.998,0.376,0.47,0.000247,0.196,chamber pop
2,2015-04-11,Eat Sleep Repeat,Copeland,Control Freak,0,113.959,0.544,0.664,1.08e-05,0.368,chamber pop
3,2015-04-11,American Beauty/American Psycho,Fall Out Boy,Fourth Of July,62,79.956,0.437,0.974,0.01,0.515,emo
4,2015-04-11,Folie à Deux,Fall Out Boy,Tiffany Blews,51,131.066,0.599,0.886,2.37e-06,0.684,emo
5,2015-04-11,Infinity On High,Fall Out Boy,The Carpal Tunnel Of Love,51,140.765,0.466,0.941,7.9e-06,0.599,emo
6,2015-04-11,Infinity On High,Fall Out Boy,I've Got All This Ringing In My Ears And None On My Fingers,48,101.989,0.583,0.922,3.19e-05,0.4,emo
7,2015-04-11,Take This To Your Grave,Fall Out Boy,Saturday,54,98.045,0.48,0.929,0.0,0.624,emo
8,2015-04-11,The 2nd Album 'Pink Tape',f(x),미행 (그림자 : Shadow),0,114.995,0.768,0.846,2.01e-05,0.828,k-pop
9,2015-04-11,ALIVE,BIGBANG,Ain't No Fun (재미없어),0,124.025,0.766,0.557,0.0,0.747,k-pop
10,2015-04-11,The First Collage,Yo Seop Yang,Caffeine,0,99.962,0.705,0.814,0.0,0.661,
11,2015-04-11,A Fever You Can't Sweat Out,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,65,125.966,0.66,0.799,0.0,0.475,baroque pop
12,2015-04-11,A Fever You Can't Sweat Out,Panic! At The Disco,But It's Better If You Do,61,170.036,0.467,0.848,0.0,0.674,baroque pop
13,2015-04-11,A Fever You Can't Sweat Out,Panic! At The Disco,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",58,116.976,0.427,0.737,0.0,0.653,baroque pop
14,2015-04-11,A Fever You Can't Sweat Out,Panic! At The Disco,"Build God, Then We'll Talk",61,124.532,0.418,0.827,0.0,0.448,baroque pop
15,2015-04-11,A Fever You Can't Sweat Out,Panic! At The Disco,Time to Dance,56,170.196,0.426,0.97,0.0,0.431,baroque pop
16,2015-04-11,Vices & Virtues,Panic! At The Disco,Trade Mistakes,58,129.995,0.467,0.803,6.8e-06,0.18,baroque pop
17,2015-04-11,"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,Nicotine,67,127.955,0.592,0.891,0.000128,0.571,baroque pop
18,2015-04-11,"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,Vegas Lights,63,123.96,0.68,0.847,0.0,0.834,baroque pop
19,2015-04-11,Illuminate,Lydia,Hospital,0,129.926,0.45,0.774,0.00154,0.234,dreamo
20,2015-04-11,Illuminate,Lydia,One More Day,0,82.476,0.346,0.695,9.53e-05,0.253,dreamo
21,2015-05-02,M,BIGBANG,LOSER,2,89.947,0.648,0.681,0.0,0.488,k-pop
22,2015-05-02,The 2nd Album ‘EXODUS’,EXO,CALL ME BABY,2,100.03,0.692,0.886,0.0,0.879,k-pop
23,2015-05-03,The 1st Mini Album ‘Ice Cream Cake’,Red Velvet,Automatic,0,179.938,0.598,0.604,0.0,0.707,k-pop
