,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2018-12-27,NCT #127 - The 1st Mini Album,NCT 127,소방차 Fire Truck,62,110.006,0.724,0.976,1.3e-05,0.626,k-pop
1,2018-12-27,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - Korean Version,58,133.998,0.733,0.801,0.0,0.878,k-pop
2,2018-12-27,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Tempo,70,115.944,0.686,0.842,0.0,0.519,k-pop
3,2018-12-27,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Tempo - Chinese Version,41,115.96,0.703,0.831,0.0,0.574,k-pop
4,2018-12-27,"For Life - Winter Special Album, 2016",EXO,Twenty Four,0,124.959,0.779,0.811,0.0,0.306,k-pop
5,2018-12-27,NCT #127 - The 1st Mini Album,NCT 127,Another World,46,139.97,0.723,0.872,0.0,0.895,k-pop
6,2018-12-27,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Run Back 2 U - Bonus Track,46,139.92,0.685,0.728,0.000415,0.335,k-pop
7,2018-12-27,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Ooh La La La,56,165.15,0.65,0.648,0.0,0.61,k-pop
8,2018-12-27,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - English Version,68,134.039,0.741,0.747,5.15e-06,0.831,k-pop
9,2018-12-27,We Go Up - The 2nd Mini Album,NCT DREAM,We Go Up,67,122.067,0.893,0.77,0.0,0.349,k-pop
10,2018-12-27,NCT 2018 EMPATHY,NCT,BOSS,70,99.026,0.787,0.543,0.0,0.332,k-pop
11,2018-12-27,NCT 2018 EMPATHY,NCT,GO,62,131.985,0.76,0.928,0.0,0.673,k-pop
12,2018-12-27,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet,Bad Boy,74,149.985,0.714,0.736,0.0,0.814,k-pop
13,2018-12-27,The 2nd Mini Album '중독 Overdose',EXO-K,중독 Overdose,65,112.357,0.498,0.917,0.0,0.652,k-pop
14,2018-12-27,Blooming Days - The 2nd Mini Album,EXO-CBX,花요일 Blooming Day,62,117.975,0.735,0.736,0.0,0.813,k-pop
15,2018-12-27,'The Story of Light' Epilogue - The 6th Album,SHINee,Good Evening,56,119.979,0.678,0.809,0.0,0.561,k-pop
16,2018-12-27,NCT #127 Regulate - The 1st Album Repackage,NCT 127,Simon Says,68,151.977,0.653,0.836,0.0,0.569,k-pop
17,2018-12-27,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,Baby Don’t Like It 나쁜 짓,0,96.711,0.699,0.555,0.0,0.374,k-pop
18,2018-12-27,NCT #127 Regulate - The 1st Album Repackage,NCT 127,Chain - Korean Version,49,139.948,0.691,0.921,0.0,0.756,k-pop
19,2018-12-27,The 5th Mini Album 'CANVAS',NU'EST,Love Paint (every afternoon),45,147.024,0.619,0.949,0.0,0.596,k-pop
20,2018-12-27,NCT #127 CHERRY BOMB– The 3rd Mini Album,NCT 127,Cherry Bomb,69,78.027,0.713,0.603,5.51e-06,0.799,k-pop
