,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2017-12-31,Deserve (feat. Travis Scott),Kris Wu,Deserve (feat. Travis Scott),52,134.0,0.677,0.697,0.0,0.61,chinese hip hop
1,2017-12-31,Glow Like Dat,Rich Brian,Glow Like Dat,61,140.036,0.787,0.586,0.000311,0.581,indonesian hip hop
2,2017-12-31,Dat $tick,Rich Brian,Dat $tick,71,108.039,0.923,0.508,1.21e-05,0.168,indonesian hip hop
3,2017-12-31,Chaos,Rich Brian,Chaos,54,149.949,0.809,0.581,0.000513,0.369,indonesian hip hop
4,2017-12-31,More Life,Drake,Passionfruit,81,111.98,0.809,0.463,0.085,0.364,canadian hip hop
5,2017-12-31,More Life,Drake,Fake Love,77,134.007,0.928,0.481,0.0,0.613,canadian hip hop
6,2018-01-23,Identity,Far East Movement,Freal Luv (feat. Chanyeol & Tinashe),47,145.041,0.644,0.814,1.59e-06,0.52,dance pop
7,2018-07-14,TWENTY88,TWENTY88,Déjà vu,56,123.667,0.568,0.617,0.0,0.404,alternative r&b
8,2018-07-14,Trip,Jhené Aiko,Sativa,76,125.99,0.741,0.61,0.0,0.72,alternative r&b
9,2018-07-14,Trip,Jhené Aiko,Never Call Me,69,99.424,0.484,0.309,1.29e-06,0.13,alternative r&b
10,2018-07-14,Black Panther The Album Music From And Inspired By,Kendrick Lamar,All The Stars (with SZA),80,96.924,0.698,0.633,0.000194,0.552,conscious hip hop
11,2018-07-14,Ctrl,SZA,Love Galore (feat. Travis Scott),79,135.002,0.795,0.594,0.0,0.409,alternative r&b
12,2018-07-14,Ctrl,SZA,The Weekend,78,68.191,0.487,0.366,0.0,0.161,alternative r&b
13,2018-07-14,Ctrl,SZA,Doves In The Wind,65,137.36,0.692,0.713,0.0,0.615,alternative r&b
14,2018-07-14,Ctrl,SZA,Go Gina,64,80.176,0.603,0.606,0.0,0.463,alternative r&b
15,2018-07-14,Ctrl,SZA,Garden (Say It Like Dat),71,111.331,0.727,0.456,0.0,0.548,alternative r&b
16,2018-07-14,Ctrl,SZA,Broken Clocks,74,112.856,0.684,0.683,0.0,0.406,alternative r&b
17,2018-07-14,DAMN. COLLECTORS EDITION.,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,49,110.684,0.658,0.535,0.0,0.419,conscious hip hop
18,2018-07-14,Scorpion,Drake,God's Plan,10,77.167,0.754,0.449,7.84e-05,0.35,canadian hip hop
