,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2018-11-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Tempo,70,115.944,0.686,0.842,0.0,0.519,k-pop
1,2018-11-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Sign,50,168.117,0.637,0.669,0.0,0.501,k-pop
2,2018-11-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Bad Dream,48,129.956,0.628,0.734,0.0,0.535,k-pop
3,2018-11-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Damage,49,79.972,0.695,0.783,0.0,0.551,k-pop
4,2018-11-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Tempo - Chinese Version,41,115.96,0.703,0.831,0.0,0.574,k-pop
5,2018-11-07,THE POWER OF MUSIC– The 4th Album ‘THE WAR’ Repackage,EXO,Power,63,127.958,0.657,0.943,0.0,0.76,k-pop
6,2018-11-07,Dancing King,Yu Jae Seok,Dancing King,56,127.987,0.729,0.88,0.0,0.957,k-pop
7,2018-11-07,NCT 2018 EMPATHY,NCT,BOSS,70,99.026,0.787,0.543,0.0,0.332,k-pop
8,2018-11-07,NCT 2018 EMPATHY,NCT,GO,62,131.985,0.76,0.928,0.0,0.673,k-pop
9,2018-11-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - Korean Version,58,133.998,0.733,0.801,0.0,0.878,k-pop
10,2018-11-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - English Version,68,134.039,0.741,0.747,5.15e-06,0.831,k-pop
11,2018-11-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Run Back 2 U - Bonus Track,46,139.92,0.685,0.728,0.000415,0.335,k-pop
12,2018-11-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Come Back,44,111.988,0.738,0.85,0.0,0.573,k-pop
13,2018-11-07,NCT #127 CHERRY BOMB– The 3rd Mini Album,NCT 127,Cherry Bomb,69,78.027,0.713,0.603,5.51e-06,0.799,k-pop
14,2018-11-07,Chain,NCT 127,Chain,54,140.056,0.6,0.961,0.0,0.74,k-pop
15,2018-11-07,Chain,NCT 127,Limitless,50,157.001,0.611,0.763,0.0,0.516,k-pop
16,2018-11-07,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,無限的我 무한적아; LIMITLESS,61,78.216,0.614,0.747,0.0,0.538,k-pop
17,2018-11-07,NCT #127 - The 1st Mini Album,NCT 127,소방차 Fire Truck,62,110.006,0.724,0.976,1.3e-05,0.626,k-pop
18,2018-11-07,NCT #127 - The 1st Mini Album,NCT 127,Another World,46,139.97,0.723,0.872,0.0,0.895,k-pop
19,2018-11-07,NCT #127 - The 1st Mini Album,NCT 127,Mad City,54,104.958,0.819,0.913,0.0,0.443,k-pop
20,2018-11-07,Time,Hitchhiker,Time,31,128.157,0.693,0.959,0.000312,0.569,
21,2018-11-07,AROUND,Hitchhiker,AROUND,42,139.984,0.64,0.944,0.892,0.568,
22,2018-11-08,We Go Up - The 2nd Mini Album,NCT DREAM,We Go Up,67,122.067,0.893,0.77,0.0,0.349,k-pop
23,2018-11-14,The 3rd Album 'Red Light',f(x),Red Light,0,128.947,0.623,0.924,0.00013,0.775,k-pop
24,2018-11-24,NCT #127 Regulate - The 1st Album Repackage,NCT 127,Chain - Korean Version,49,139.948,0.691,0.921,0.0,0.756,k-pop
25,2018-11-25,NCT #127 Regulate - The 1st Album Repackage,NCT 127,Simon Says,68,151.977,0.653,0.836,0.0,0.569,k-pop
26,2018-11-25,EX'ACT - The 3rd Album,EXO,Monster,73,150.0,0.618,0.76,0.0,0.541,k-pop
27,2018-11-25,The 2nd Mini Album '중독 Overdose',EXO-K,중독 Overdose,65,112.357,0.498,0.917,0.0,0.652,k-pop
28,2018-11-25,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet,Bad Boy,74,149.985,0.714,0.736,0.0,0.814,k-pop
29,2018-12-08,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,Baby Don’t Like It 나쁜 짓,61,96.711,0.699,0.555,0.0,0.374,k-pop
30,2019-03-24,初恋,Hikaru Utada,Too Proud featuring Jevon,40,145.918,0.697,0.472,7.3e-05,0.662,j-pop
31,2019-03-24,IT'z Different,ITZY,달라달라 DALLA DALLA,53,124.998,0.79,0.853,4.23e-05,0.713,j-dance
32,2019-03-24,Face My Fears,Hikaru Utada,Face My Fears - English Version,66,159.965,0.628,0.751,0.0,0.44,j-pop
33,2019-03-24,WANT - The 2nd Mini Album,TAEMIN,WANT,65,104.943,0.64,0.757,0.0,0.413,k-pop
34,2019-03-24,The Vision - The 1st Digital EP,WayV,Regular,55,134.02,0.715,0.789,0.0,0.866,chinese idol pop
35,2019-03-24,Summer Magic - Summer Mini Album,Red Velvet,Bad Boy - (English Version) [Bonus Track],61,150.011,0.723,0.726,0.0,0.839,k-pop
36,2019-03-24,7 for 7,GOT7,Teenager,1,124.09,0.613,0.899,0.0,0.702,k-pop
37,2019-03-24,MAD QUALIA (Japanese Version),HYDE,MAD QUALIA - Japanese Version,0,194.914,0.36,0.92,0.0,0.355,j-metal
38,2019-03-24,Andromeda,Satyr,Andromeda,21,179.336,0.3,0.938,0.000107,0.122,
39,2019-03-25,I LOVE YOU,2NE1,I LOVE YOU,34,125.01,0.738,0.837,0.0,0.49,dance pop
40,2019-03-30,Hot Mess,Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),65,119.964,0.594,0.874,0.0,0.628,dance pop
41,2019-03-30,Night Shades,Cobra Starship,You Make Me Feel... (feat. Sabi),67,131.959,0.668,0.857,6.71e-06,0.748,dance pop
42,2019-04-01,As Cruel As School Children,Gym Class Heroes,Clothes Off!!,50,114.987,0.761,0.69,0.0,0.742,dance pop
43,2019-04-07,Wakey-Wakey,NCT 127,Wakey-Wakey,0,140.041,0.71,0.742,0.0,0.638,k-pop
44,2019-04-07,Purple,SOHLHEE,Purple,51,112.042,0.756,0.661,0.0,0.326,
45,2019-04-16,AFTER LIGHT,HYDE,KISS OF DEATH,38,125.98,0.542,0.945,4.63e-06,0.504,j-metal
46,2019-04-18,Awaken,NCT 127,Lips,51,101.036,0.853,0.725,0.0,0.383,k-pop
47,2019-08-28,What a life - The 1st Mini Album,EXO-SC,What a life,67,135.029,0.862,0.782,0.0,0.847,k-pop
48,2019-08-28,What a life - The 1st Mini Album,EXO-SC,Roller coaster,50,134.038,0.808,0.712,0.0,0.736,k-pop
49,2019-08-28,Long Flight,TAEYONG,Long Flight,63,148.065,0.688,0.861,1.47e-06,0.875,
